location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Snowfall Amount,Relative Humidity,Relative Humidity,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,cm,%,%,%,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,2 m,2 m,2 m,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20210204T0000,14.040529,5.2705283,9.146361,0.6,0.0,79.0,52.0,68.583336,51.454166,37.212578,3.8939953,12.539756,157.5641
20210205T0000,13.290529,7.3005285,10.185946,1.2,0.0,96.0,61.0,79.541664,86.362495,13.084402,1.08,6.6640716,108.05425
20210206T0000,14.780529,6.6305285,9.97428,0.0,0.0,95.0,55.0,74.041664,57.454163,23.933908,4.5820518,13.740716,111.99113
20210207T0000,10.160529,4.3805285,7.366778,1.7,0.0,81.0,56.0,70.125,89.166664,28.449112,9.220499,16.60179,242.62024
20210208T0000,5.9005284,0.80052865,2.4117787,0.1,0.07,89.0,64.0,79.666664,85.166664,25.076267,1.609969,8.947219,299.90973
20210209T0000,5.6505284,-1.1694714,1.5596952,0.0,0.0,91.0,62.0,75.833336,93.708336,16.75064,2.9024127,8.75363,9.851318
20210210T0000,0.46052867,-4.3194714,-2.6257215,6.7999988,4.410001,95.0,79.0,89.958336,100.0,34.62369,6.489992,21.003408,344.24884
20210211T0000,-1.9594713,-8.149471,-4.8169713,0.6,0.42000002,90.0,56.0,74.958336,35.3875,42.305744,4.896529,24.034195,85.9429
20210212T0000,1.7105286,-5.8694715,-3.1786382,0.0,0.0,71.0,48.0,62.541668,69.74166,45.872814,22.104116,33.894596,94.09285
20210213T0000,0.010528658,-7.1494713,-3.876138,0.0,0.0,65.0,41.0,55.5,0.0,44.093754,18.888851,31.140387,96.39511
20210214T0000,2.7205286,-6.4394712,-2.4865549,0.0,0.0,77.0,49.0,61.833332,13.045834,25.683926,5.6920996,16.386744,117.187546
20210215T0000,7.2805285,-2.3294713,2.802612,0.0,0.0,84.0,53.0,69.125,79.166664,14.512064,2.8799999,8.9243,127.3683
